揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
切り<div class="hint">bounds; limits</div>,きり,bounds; limits,<ruby>切<rt>き</rt></ruby>りがいいので <ruby>今日<rt>きょう</rt></ruby>の <ruby>仕事<rt>しごと</rt></ruby>はここまでにしましょう。,This is a good point to stop; so let's finish work here for today.,
切ない<div class="hint">painful; trying</div>,せつない,painful; trying,<ruby>彼<rt>かれ</rt></ruby>との <ruby>幸<rt>しあわ</rt></ruby>せな <ruby>日々<rt>ひび</rt></ruby>を <ruby>思い<ruby>出<rt>おもいだ</rt></ruby>すと <ruby>切<rt>せつ</rt></ruby>なかった。,It was painful to remember happier times with him.,
インフルエンザ<div class="hint">influenza; the flu</div>,いんふるえんざ,influenza; the flu,<ruby>最近<rt>さいきん</rt></ruby>インフルエンザが <ruby>流行<rt>はや</rt></ruby>っている。,The flu is going around at the moment.,
符号<div class="hint">mark; sign</div>,ふごう,mark; sign,「+」は <ruby>正<rt>せい</rt></ruby>の <ruby>符号<rt>ふごう</rt></ruby>です。,&quot;+&quot; is a positive sign.,
賃貸<div class="hint">hiring out; lease</div>,ちんたい,hiring out; lease,<ruby>彼<rt>かれ</rt></ruby>は <ruby>賃貸<rt>ちんたい</rt></ruby>マンションに <ruby>住<rt>す</rt></ruby>んでいます。,He lives in a rented apartment.,
賃金<div class="hint">pay; wages</div>,ちんぎん,pay; wages,<ruby>彼<rt>かれ</rt></ruby>は <ruby>最低<rt>さいてい</rt></ruby> <ruby>賃金<rt>ちんぎん</rt></ruby>しか <ruby>稼<rt>かせ</rt></ruby>いでいない。,He only earns the minimum wage.,
代理<div class="hint">agency; representation</div>,だいり,agency; representation,<ruby>私<rt>わたし</rt></ruby>は <ruby>社長<rt>しゃちょう</rt></ruby>の <ruby>代理<rt>だいり</rt></ruby>でその <ruby>会議<rt>かいぎ</rt></ruby>に <ruby>出<rt>で</rt></ruby>た。,I attended the conference in place of the president.,
代行<div class="hint">agent; proxy</div>,だいこう,agent; proxy,<ruby>彼<rt>かれ</rt></ruby>が <ruby>社長<rt>しゃちょう</rt></ruby> <ruby>代行<rt>だいこう</rt></ruby>を <ruby>務<rt>つと</rt></ruby>めた。,He stood in for the president.,
代用<div class="hint">substitute</div>,だいよう,substitute,<ruby>鍋<rt>なべ</rt></ruby>が <ruby>無<rt>な</rt></ruby>いのでフライパンで <ruby>代用<rt>だいよう</rt></ruby>した。,I had no saucepan so I used a frying-pan instead.,
代代<div class="hint">generation after generation</div>,だいだい,generation after generation,<ruby>郷里<rt>きょうり</rt></ruby>に <ruby>先祖<rt>せんぞ</rt></ruby> <ruby>代代<rt>だいだい</rt></ruby>の <ruby>墓<rt>はか</rt></ruby>がある。,In my hometown there are graves going back many generations.,
限定<div class="hint">limitation</div>,げんてい,limitation,<ruby>参加<rt>さんか</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>会員<rt>かいいん</rt></ruby>に <ruby>限定<rt>げんてい</rt></ruby>されています。,The participants are restricted to members of the association.,
制定<div class="hint">enactment</div>,せいてい,enactment,<ruby>新<rt>あたら</rt></ruby>しい <ruby>法律<rt>ほうりつ</rt></ruby>が <ruby>今日<rt>きょう</rt></ruby> <ruby>制定<rt>せいてい</rt></ruby>されました。,A new law was enacted today.,
予告<div class="hint">advance notice</div>,よこく,advance notice,<ruby>映画<rt>えいが</rt></ruby>の <ruby>予告<rt>よこく</rt></ruby>を <ruby>見<rt>み</rt></ruby>るのが <ruby>好<rt>す</rt></ruby>きです。,I like to see movie previews.,
予て<div class="hint">already; lately</div>,かねて,already; lately,かねてから <ruby>予定<rt>よてい</rt></ruby>していた <ruby>長期<rt>ちょうき</rt></ruby> <ruby>休暇<rt>きゅうか</rt></ruby>を <ruby>取<rt>と</rt></ruby>った。,I took the long vacation that I had been planning for a long time.,
予期<div class="hint">anticipation; expectation</div>,よき,anticipation; expectation,その <ruby>試合<rt>しあい</rt></ruby>は <ruby>予期<rt>よき</rt></ruby>した <ruby>通<rt>とお</rt></ruby>りの <ruby>結果<rt>けっか</rt></ruby>になった。,The result of the match was as expected.,
要約<div class="hint">summary</div>,ようやく,summary,この <ruby>記事<rt>きじ</rt></ruby>の <ruby>要約<rt>ようやく</rt></ruby>を <ruby>書<rt>か</rt></ruby>いてください。,Please write a summary of this article.,
解約<div class="hint">dissolution of a contract</div>,かいやく,dissolution of a contract,<ruby>彼<rt>かれ</rt></ruby>はアパートを <ruby>解約<rt>かいやく</rt></ruby>した。,He cancelled the contract on the apartment.,
トラブル<div class="hint">travel; trouble</div>,とらぶる,travel; trouble,<ruby>思<rt>おも</rt></ruby>いがけないトラブルで <ruby>出発<rt>しゅっぱつ</rt></ruby>が <ruby>遅<rt>おく</rt></ruby>れてしまった。,Departure is delayed due to unexpected trouble.,
制約<div class="hint">condition; restriction</div>,せいやく,condition; restriction,ビジネスにも <ruby>色々<rt>いろいろ</rt></ruby>な <ruby>制約<rt>せいやく</rt></ruby>がつきまとう。,Business comes with many restrictions.,
化石<div class="hint">fossil</div>,かせき,fossil,この <ruby>辺<rt>へん</rt></ruby>は <ruby>貝<rt>かい</rt></ruby>の <ruby>化石<rt>かせき</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い。,There are a lot of fossil seashells around here.,
合理化<div class="hint">rationalization</div>,ごうりか,rationalization,<ruby>作業<rt>さぎょう</rt></ruby>の <ruby>合理<rt>ごうり</rt></ruby> <ruby>化<rt>か</rt></ruby>を <ruby>進<rt>すす</rt></ruby>めましょう。,Let's rationalize the work.,
半減<div class="hint">50 percent reduction</div>,はんげん,50 percent reduction,ショックで <ruby>食欲<rt>しょくよく</rt></ruby>が <ruby>半減<rt>はんげん</rt></ruby>した。,Her appetite halved with the shock.,
乗用車<div class="hint">automobile</div>,じょうようしゃ,automobile,<ruby>日本<rt>にほん</rt></ruby> <ruby>製<rt>せい</rt></ruby>の <ruby>乗用車<rt>じょうようしゃ</rt></ruby>は <ruby>人気<rt>にんき</rt></ruby>があります。,Japanese-made passenger cars are popular.,
便乗<div class="hint">advantageous opportunity</div>,びんじょう,advantageous opportunity,<ruby>韓国<rt>かんこく</rt></ruby>ブームに <ruby>便乗<rt>びんじょう</rt></ruby>して <ruby>韓国<rt>かんこく</rt></ruby> <ruby>語<rt>ご</rt></ruby>を <ruby>習<rt>なら</rt></ruby>い <ruby>始<rt>はじ</rt></ruby>めた。,Taking advantage of the boom in interest in South Korea; I started to learn Korean.,
下降<div class="hint">descent; subsidence</div>,かこう,descent; subsidence,<ruby>飛行機<rt>ひこうき</rt></ruby>はまもなく <ruby>下降<rt>かこう</rt></ruby>し <ruby>始<rt>はじ</rt></ruby>めます。,The airplane will begin to descend soon.,
降水<div class="hint">precipitation</div>,こうすい,precipitation,1 <ruby>時間<rt>じかん</rt></ruby>で 50ミリの <ruby>降水<rt>こうすい</rt></ruby>がありました。,50mm of rain fell in one hour.,
着手<div class="hint">commencement; start</div>,ちゃくしゅ,commencement; start,わが <ruby>社<rt>しゃ</rt></ruby>は <ruby>来月<rt>らいげつ</rt></ruby> <ruby>新<rt>あら</rt></ruby>たな <ruby>事業<rt>じぎょう</rt></ruby>に <ruby>着手<rt>ちゃくしゅ</rt></ruby>します。,Our company will start a new business next month.,
定着<div class="hint">fastening; fixing</div>,ていちゃく,fastening; fixing,ペットボトルや <ruby>缶<rt>かん</rt></ruby>のリサイクルは <ruby>定着<rt>ていちゃく</rt></ruby>したようだ。,Recycling of plastic bottles and cans seems to be firmly established.,
先着<div class="hint">first to arrive</div>,せんちゃく,first to arrive,<ruby>先着<rt>せんちゃく</rt></ruby> 30 <ruby>名<rt>めい</rt></ruby> <ruby>様<rt>さま</rt></ruby>にサンプルを <ruby>差し<ruby>上<rt>さしあ</rt></ruby>げます。,I will give a sample to the first 30 people.,
脱出<div class="hint">escape; extrication</div>,だっしゅつ,escape; extrication,<ruby>彼<rt>かれ</rt></ruby>は <ruby>沈<rt>しず</rt></ruby>む <ruby>船<rt>ふね</rt></ruby>から <ruby>脱出<rt>だっしゅつ</rt></ruby>した。,He escaped from the sinking ship.,
脱水<div class="hint">dehydration</div>,だっすい,dehydration,<ruby>彼<rt>かれ</rt></ruby>には <ruby>脱水<rt>だっすい</rt></ruby> <ruby>症状<rt>しょうじょう</rt></ruby>が <ruby>見<rt>み</rt></ruby>られます。,He showed symptoms of dehydration.,
国税<div class="hint">national tax</div>,こくぜい,national tax,<ruby>所得<rt>しょとく</rt></ruby> <ruby>税<rt>ぜい</rt></ruby>は <ruby>国税<rt>こくぜい</rt></ruby>のひとつです。,Income tax is one of the national taxes.,
シングル<div class="hint">single; single room</div>,しんぐる,single; single room,<ruby>私<rt>わたし</rt></ruby>のベッドはシングルです。,I have a single bed.,
立体<div class="hint">cube; solid</div>,りったい,cube; solid,<ruby>彼<rt>かれ</rt></ruby>は <ruby>立体<rt>りったい</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>絵<rt>え</rt></ruby>が <ruby>得意<rt>とくい</rt></ruby>だ。,He is good at drawing three-dimensional pictures.,
立法<div class="hint">lawmaking; legislation</div>,りっぽう,lawmaking; legislation,<ruby>国会<rt>こっかい</rt></ruby>は <ruby>立法<rt>りっぽう</rt></ruby> <ruby>機関<rt>きかん</rt></ruby>です。,The Diet is a lawmaking body.,
立ち読み<div class="hint">browsing</div>,たちよみ,browsing,<ruby>立ち<ruby>読<rt>たちよ</rt></ruby>みはしないでください。,Don't stand reading the books.,
分立<div class="hint">separation</div>,ぶんりつ,separation,3つの <ruby>小国<rt>しょうこく</rt></ruby>が <ruby>分立<rt>ぶんりつ</rt></ruby>しました。,The three small counties separated.,
生い立ち<div class="hint">one's childhood; one's upbringing</div>,おいたち,one's childhood; one's upbringing,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>生い<ruby>立<rt>おいた</rt></ruby>ちについては <ruby>誰<rt>だれ</rt></ruby>も <ruby>知<rt>し</rt></ruby>らない。,No one knows her personal history.,
席上<div class="hint">at the meeting</div>,せきじょう,at the meeting,<ruby>会議<rt>かいぎ</rt></ruby>の <ruby>席上<rt>せきじょう</rt></ruby>で <ruby>驚<rt>おどろ</rt></ruby>くべき <ruby>発表<rt>はっぴょう</rt></ruby>がありました。,There was an astonishing announcement at the conference.,
不可欠<div class="hint">indispensable</div>,ふかけつ,indispensable,このプロジェクトを <ruby>成功<rt>せいこう</rt></ruby>させるには <ruby>皆<rt>みな</rt></ruby>の <ruby>協力<rt>きょうりょく</rt></ruby>が <ruby>不可欠<rt>ふかけつ</rt></ruby>だ。,Everyone's cooperation is indispensable to make this project succeed.,
次元<div class="hint">dimension</div>,じげん,dimension,<ruby>彼<rt>かれ</rt></ruby>の <ruby>腕<rt>うで</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>のとは <ruby>次元<rt>じげん</rt></ruby>が <ruby>違<rt>ちが</rt></ruby>う。,His skill is on a different level than mine.,
運行<div class="hint">movement; revolution</div>,うんこう,movement; revolution,<ruby>駅<rt>えき</rt></ruby>から <ruby>湖<rt>みずうみ</rt></ruby>までバスが <ruby>運行<rt>うんこう</rt></ruby>しています。,A bus runs between the station and the lake.,
移住<div class="hint">migration; move</div>,いじゅう,migration; move,その <ruby>一家<rt>いっか</rt></ruby>はアメリカに <ruby>移住<rt>いじゅう</rt></ruby>した。,The family migrated to the United States.,
不動産<div class="hint">real estate</div>,ふどうさん,real estate,<ruby>彼<rt>かれ</rt></ruby>はたくさん <ruby>不動産<rt>ふどうさん</rt></ruby>を <ruby>所有<rt>しょゆう</rt></ruby>している。,He owns a lot of real estate.,
変動<div class="hint">change; fluctuation</div>,へんどう,change; fluctuation,<ruby>地価<rt>ちか</rt></ruby>が <ruby>大<rt>おお</rt></ruby>きく <ruby>変動<rt>へんどう</rt></ruby>した。,The price of land fluctuates greatly.,
作動<div class="hint">operation</div>,さどう,operation,<ruby>赤<rt>あか</rt></ruby>いボタンを <ruby>押<rt>お</rt></ruby>すと <ruby>機械<rt>きかい</rt></ruby>が <ruby>作動<rt>さどう</rt></ruby>します。,When you push the red button; the machine works.,
動員<div class="hint">mobilization</div>,どういん,mobilization,そのお <ruby>祭<rt>まつ</rt></ruby>りには <ruby>毎年<rt>まいとし</rt></ruby> <ruby>警官<rt>けいかん</rt></ruby>が <ruby>動員<rt>どういん</rt></ruby>される。,The police are mobilized at the festival every year.,
言動<div class="hint">speech and behavior</div>,げんどう,speech and behavior,<ruby>人前<rt>ひとまえ</rt></ruby>での <ruby>言動<rt>げんどう</rt></ruby>に <ruby>気<rt>き</rt></ruby>をつけなさい。,Mind your manners and behavior in the presence of others.,
アウト<div class="hint">out; Out!</div>,あうと,out; Out!,あとアウト <ruby>二<rt>ふた</rt></ruby>つで <ruby>試合<rt>しあい</rt></ruby> <ruby>終了<rt>しゅうりょう</rt></ruby>です。,The game will be finished after two &quot;outs.&quot;,
早期<div class="hint">early stage</div>,そうき,early stage,<ruby>早期<rt>そうき</rt></ruby>の <ruby>解決<rt>かいけつ</rt></ruby>が <ruby>期待<rt>きたい</rt></ruby>されます。,An early solution is expected.,
早春<div class="hint">early spring</div>,そうしゅん,early spring,その <ruby>小説<rt>しょうせつ</rt></ruby>は <ruby>早春<rt>そうしゅん</rt></ruby>の <ruby>京都<rt>きょうと</rt></ruby>を <ruby>舞台<rt>ぶたい</rt></ruby>にしている。,The novel is set in Kyoto in early spring.,
速やか<div class="hint">quick; swift</div>,すみやか,quick; swift,<ruby>速<rt>すみ</rt></ruby>やかなご <ruby>対応<rt>たいおう</rt></ruby>ありがとうございます。,Thank you very much for your prompt response.,
減速<div class="hint">deceleration</div>,げんそく,deceleration,<ruby>運転<rt>うんてん</rt></ruby> <ruby>手<rt>しゅ</rt></ruby>は <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>ってきたので <ruby>減速<rt>げんそく</rt></ruby>した。,The driver slowed down as it started to rain.,
風速<div class="hint">wind velocity</div>,ふうそく,wind velocity,この <ruby>台風<rt>たいふう</rt></ruby>で <ruby>風速<rt>ふうそく</rt></ruby> 60メートルが <ruby>記録<rt>きろく</rt></ruby>された。,Wind speeds of 60 meters a second were recorded in this typhoon.,
始末<div class="hint">completion; dealing with</div>,しまつ,completion; dealing with,<ruby>火<rt>ひ</rt></ruby>の <ruby>始末<rt>しまつ</rt></ruby>はしましたか。,Was the fire put out?,
終始<div class="hint">from start to finish</div>,しゅうし,from start to finish,<ruby>議員<rt>ぎいん</rt></ruby>の <ruby>記者<rt>きしゃ</rt></ruby> <ruby>会見<rt>かいけん</rt></ruby>は <ruby>言い<ruby>逃<rt>いいのが</rt></ruby>れに <ruby>終始<rt>しゅうし</rt></ruby>した。,The assembly members' press conference was nothing but excuses.,
出現<div class="hint">appearance; emergence</div>,しゅつげん,appearance; emergence,<ruby>新<rt>あら</rt></ruby>たな <ruby>問題<rt>もんだい</rt></ruby>が <ruby>出現<rt>しゅつげん</rt></ruby>した。,A new problem arose.,
