鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
食い違い<div class="hint">cross-purposes; difference</div>,くいちがい,cross-purposes; difference,<ruby>彼<rt>かれ</rt></ruby>との <ruby>間<rt>あいだ</rt></ruby>で <ruby>意見<rt>いけん</rt></ruby>の <ruby>食い<ruby>違<rt>くいちが</rt></ruby>いが <ruby>生<rt>しょう</rt></ruby>じた。,There was a difference of opinion between them.,
行き違い<div class="hint">crossing; misunderstanding</div>,いきちがい,crossing; misunderstanding,<ruby>数<rt>すう</rt></ruby> <ruby>分<rt>ふん</rt></ruby>の <ruby>差<rt>さ</rt></ruby>で <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>行<rt>い</rt></ruby>き <ruby>違<rt>ちが</rt></ruby>いになった。,I missed her by a few minutes.,
気違い<div class="hint">insanity; lunatic</div>,きちがい,insanity; lunatic,<ruby>彼<rt>かれ</rt></ruby>は <ruby>気違<rt>きちが</rt></ruby>いみたいに <ruby>叫<rt>さけ</rt></ruby>んでいた。,He was shouting madly.,
食い違う<div class="hint">clash; differ</div>,くいちがう,clash; differ,<ruby>二人<rt>ふたり</rt></ruby>の <ruby>話<rt>はなし</rt></ruby>は <ruby>食い<ruby>違<rt>くいちが</rt></ruby>っている。,There is some discrepancy in what the two of them are saying.,
似通う<div class="hint">resemble closely</div>,にかよう,resemble closely,この <ruby>二<rt>ふた</rt></ruby>つの <ruby>作品<rt>さくひん</rt></ruby>には <ruby>似通<rt>にかよ</rt></ruby>ったところがあります。,The two products resemble each other a lot.,
旅立つ<div class="hint">set off</div>,たびだつ,set off,<ruby>彼<rt>かれ</rt></ruby>は <ruby>昨日<rt>きのう</rt></ruby>インドに <ruby>旅立<rt>たびだ</rt></ruby>ちました。,He set off to India yesterday.,
旅券<div class="hint">passport</div>,りょけん,passport,<ruby>入国<rt>にゅうこく</rt></ruby> <ruby>審査<rt>しんさ</rt></ruby>では <ruby>旅券<rt>りょけん</rt></ruby>を <ruby>提示<rt>ていじ</rt></ruby>してください。,Please present your passport at immigration.,
やくざ<div class="hint">gangster; yakuza</div>,やくざ,gangster; yakuza,<ruby>彼<rt>かれ</rt></ruby>はやくざな <ruby>仕事<rt>しごと</rt></ruby>をしている。,He works for a criminal gang.,
宿屋<div class="hint">hotel; inn</div>,やどや,hotel; inn,<ruby>彼<rt>かれ</rt></ruby>は <ruby>宿屋<rt>やどや</rt></ruby>を <ruby>営<rt>いとな</rt></ruby>んでいます。,He manages an inn.,
雨宿り<div class="hint">shelter from the rain</div>,あまやどり,shelter from the rain,<ruby>夕立<rt>ゆうだち</rt></ruby>にあって <ruby>本屋<rt>ほんや</rt></ruby>で <ruby>雨宿<rt>あまやど</rt></ruby>りした。,I took shelter in the bookstore during the rain shower.,
和歌<div class="hint">Japanese poem</div>,わか,Japanese poem,<ruby>和歌<rt>わか</rt></ruby>には <ruby>特定<rt>とくてい</rt></ruby>のリズムがある。,There is a specific rhythm in Japanese poetry.,
和む<div class="hint">be softened; become calm</div>,なごむ,be softened; become calm,<ruby>彼<rt>かれ</rt></ruby>がいるだけで <ruby>場<rt>ば</rt></ruby>が <ruby>和<rt>なご</rt></ruby>みます。,Just by his being here the place calms down.,
母国語<div class="hint">one's native language</div>,ぼこくご,one's native language,<ruby>彼<rt>かれ</rt></ruby>の <ruby>母国<rt>ぼこく</rt></ruby> <ruby>語<rt>ご</rt></ruby>は <ruby>英語<rt>えいご</rt></ruby>です。,His mother tongue is English.,
分母<div class="hint">denominator</div>,ぶんぼ,denominator,2/ 3の <ruby>分母<rt>ぶんぼ</rt></ruby>は 3です。,The denominator of 2/3 is three.,
親日<div class="hint">pro-Japan</div>,しんにち,pro-Japan,<ruby>彼<rt>かれ</rt></ruby>は <ruby>親日<rt>しんにち</rt></ruby> <ruby>家<rt>か</rt></ruby>だ。,He is a Japanophile.,
肉親<div class="hint">blood relation</div>,にくしん,blood relation,<ruby>彼女<rt>かのじょ</rt></ruby>にとって <ruby>祖母<rt>そぼ</rt></ruby>が <ruby>唯一<rt>ゆいいつ</rt></ruby>の <ruby>肉親<rt>にくしん</rt></ruby>だ。,Her grandmother is her only blood relative.,
歳月<div class="hint">time</div>,さいげつ,time,<ruby>歳月<rt>さいげつ</rt></ruby>が <ruby>過<rt>す</rt></ruby>ぎるのが <ruby>昔<rt>むかし</rt></ruby>より <ruby>速<rt>はや</rt></ruby>く <ruby>感<rt>かん</rt></ruby>じられます。,The passage of the years feels faster than before.,
とかく<div class="hint">often</div>,とかく,often,<ruby>急<rt>いそ</rt></ruby>ぐととかく <ruby>失敗<rt>しっぱい</rt></ruby>しがちだ。,If you hurry it's easy to make mistakes.,
弟子入り<div class="hint">acolyte; follower</div>,でしいり,acolyte; follower,<ruby>彼<rt>かれ</rt></ruby>は <ruby>落語<rt>らくご</rt></ruby> <ruby>家<rt>か</rt></ruby>に <ruby>弟子<rt>でし</rt></ruby> <ruby>入<rt>い</rt></ruby>りした。,He became an apprentice of the comic storyteller.,
息切れ<div class="hint">breathlessness</div>,いきぎれ,breathlessness,<ruby>階段<rt>かいだん</rt></ruby>を <ruby>急<rt>いそ</rt></ruby>いで <ruby>上<rt>のぼ</rt></ruby>ったので <ruby>息切<rt>いきぎ</rt></ruby>れしています。,I got short of breath hurrying up the stairs.,
悪者<div class="hint">bad lot; ruffian</div>,わるもの,bad lot; ruffian,あの <ruby>人<rt>ひと</rt></ruby>は <ruby>人<rt>ひと</rt></ruby>を <ruby>騙<rt>だま</rt></ruby>す <ruby>悪者<rt>わるもの</rt></ruby>です。,That person is a bad lot who cheats others.,
結う<div class="hint">do up; dress</div>,ゆう,do up; dress,<ruby>今日<rt>きょう</rt></ruby> <ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>着物<rt>きもの</rt></ruby>を <ruby>着<rt>き</rt></ruby>るので <ruby>髪の<ruby>毛<rt>かみのけ</rt></ruby>を <ruby>結<rt>ゆ</rt></ruby>っている。,She tied up her hair as she is wearing a kimono today.,
果てしない<div class="hint">boundless; endless</div>,はてしない,boundless; endless,<ruby>彼<rt>かれ</rt></ruby>は <ruby>果<rt>は</rt></ruby>てしない <ruby>夢<rt>ゆめ</rt></ruby>を <ruby>追<rt>お</rt></ruby>い <ruby>続<rt>つづ</rt></ruby>けた。,He keeps chasing an unfulfilled dream.,
自明<div class="hint">obvious; self-evident</div>,じめい,obvious; self-evident,<ruby>悪<rt>わる</rt></ruby>い <ruby>行<rt>おこな</rt></ruby>いをすれば <ruby>罰<rt>ばち</rt></ruby>を <ruby>受<rt>う</rt></ruby>けるのは <ruby>自明<rt>じめい</rt></ruby>の <ruby>理<rt>り</rt></ruby>だ。,It's self-evident that if you do a bad deed; you will be punished.,
自営<div class="hint">independent</div>,じえい,independent,<ruby>会社<rt>かいしゃ</rt></ruby>を <ruby>辞<rt>や</rt></ruby>めて <ruby>自営<rt>じえい</rt></ruby>することにしたよ。,I decided to leave the company and run my own business.,
自問<div class="hint">self doubt</div>,じもん,self doubt,<ruby>正<rt>ただ</rt></ruby>しい <ruby>決断<rt>けつだん</rt></ruby>だったのかと <ruby>自問<rt>じもん</rt></ruby>した。,I wondered whether it was the correct decision.,
自活<div class="hint">self-support</div>,じかつ,self-support,アルバイトで <ruby>自活<rt>じかつ</rt></ruby>していくのは <ruby>大変<rt>たいへん</rt></ruby>だ。,It is hard work supporting oneself with a part-time job.,
あやふや<div class="hint">ambiguous; vague</div>,あやふや,ambiguous; vague,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>はあやふやでした。,Her attitude was ambiguous.,
自ずから<div class="hint">by itself; naturally</div>,おのずから,by itself; naturally,<ruby>努力<rt>どりょく</rt></ruby>すればおのずから <ruby>道<rt>みち</rt></ruby>は <ruby>開<rt>ひら</rt></ruby>けるでしょう。,If we try hard; the road will be opened as a matter of course.,
信ずる<div class="hint">believe; have faith</div>,しんずる,believe; have faith,<ruby>信<rt>しん</rt></ruby>ずる <ruby>者<rt>もの</rt></ruby>は <ruby>救<rt>すく</rt></ruby>われる。,Believers will be saved.,
頼りない<div class="hint">helpless; vague</div>,たよりない,helpless; vague,<ruby>彼<rt>かれ</rt></ruby>は <ruby>細<rt>ほそ</rt></ruby>くて <ruby>頼<rt>たよ</rt></ruby>りない。,He is thin and helpless.,
民話<div class="hint">folk story; folk tale</div>,みんわ,folk story; folk tale,<ruby>今<rt>いま</rt></ruby>この <ruby>地方<rt>ちほう</rt></ruby>の <ruby>民話<rt>みんわ</rt></ruby>を <ruby>読<rt>よ</rt></ruby>んでいます。,At the moment; I am reading folk tales from this region.,
義父<div class="hint">father-in-law</div>,ぎふ,father-in-law,<ruby>私<rt>わたし</rt></ruby>の <ruby>父<rt>ちち</rt></ruby>と <ruby>義父<rt>ぎふ</rt></ruby>は <ruby>仲<rt>なか</rt></ruby>が <ruby>良<rt>よ</rt></ruby>い。,My father and my father-in-law get along well.,
口論<div class="hint">argument</div>,こうろん,argument,<ruby>親友<rt>しんゆう</rt></ruby> <ruby>同士<rt>どうし</rt></ruby>が <ruby>珍<rt>めずら</rt></ruby>しく <ruby>口論<rt>こうろん</rt></ruby>している。,Best friends rarely quarrel.,
論ずる<div class="hint">discuss</div>,ろんずる,discuss,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>人生<rt>じんせい</rt></ruby>の <ruby>意義<rt>いぎ</rt></ruby>を <ruby>熱<rt>あつ</rt></ruby>く <ruby>論<rt>ろん</rt></ruby>じた。,They heatedly discussed the challenges of life.,
反作用<div class="hint">reaction</div>,はんさよう,reaction,<ruby>作用<rt>さよう</rt></ruby>と <ruby>反作用<rt>はんさよう</rt></ruby>は <ruby>向<rt>む</rt></ruby>きが <ruby>逆<rt>ぎゃく</rt></ruby>です。,The movement of the action and the reaction is opposite.,
反る<div class="hint">curve; warp</div>,そる,curve; warp,<ruby>彼<rt>かれ</rt></ruby>は <ruby>背中<rt>せなか</rt></ruby>を <ruby>反<rt>そ</rt></ruby>らせた。,He arched his back.,
びっしり<div class="hint">full; tightly</div>,びっしり,full; tightly,<ruby>来週<rt>らいしゅう</rt></ruby>は <ruby>予定<rt>よてい</rt></ruby>がびっしりつまっています。,The schedule will be tightly packed next week.,
手応え<div class="hint">resistance; response</div>,てごたえ,resistance; response,<ruby>今回<rt>こんかい</rt></ruby>のテストではかなり <ruby>手応<rt>てごた</rt></ruby>えを <ruby>感<rt>かん</rt></ruby>じました。,I made a solid job of the test this time.,
応接<div class="hint">reception</div>,おうせつ,reception,<ruby>客<rt>きゃく</rt></ruby>の <ruby>応接<rt>おうせつ</rt></ruby>は <ruby>心<rt>こころ</rt></ruby>を <ruby>込<rt>こ</rt></ruby>めて。,Be sincere in dealing with customers.,
応ずる<div class="hint">accept; comply</div>,おうずる,accept; comply,<ruby>彼<rt>かれ</rt></ruby>の <ruby>頼<rt>たの</rt></ruby>みに <ruby>応<rt>おう</rt></ruby>ずることにした。,I decided to grant his request.,
答申<div class="hint">reply; report</div>,とうしん,reply; report,<ruby>審議<rt>しんぎ</rt></ruby>の <ruby>結果<rt>けっか</rt></ruby>を <ruby>大臣<rt>だいじん</rt></ruby>に <ruby>答申<rt>とうしん</rt></ruby>した。,The result of the discussion was reported to the minister.,
口答え<div class="hint">back talk</div>,くちごたえ,back talk,<ruby>先生<rt>せんせい</rt></ruby>に <ruby>口答<rt>くちごた</rt></ruby>えしてはいけません。,Do not talk back to the teacher.,
押し問答<div class="hint">argument</div>,おしもんどう,argument,<ruby>二人<rt>ふたり</rt></ruby>は <ruby>先程<rt>さきほど</rt></ruby>から <ruby>押し<ruby>問答<rt>おしもんどう</rt></ruby>しています。,The two of them have been arguing for a while.,
大別<div class="hint">division into major classes</div>,たいべつ,division into major classes,この <ruby>装置<rt>そうち</rt></ruby>には <ruby>大別<rt>たいべつ</rt></ruby>すると 4つの <ruby>機能<rt>きのう</rt></ruby>がある。,In this device; there are broadly speaking four functions.,
別個<div class="hint">another; separate</div>,べっこ,another; separate,この <ruby>二<rt>ふた</rt></ruby>つは <ruby>別個<rt>べっこ</rt></ruby>の <ruby>問題<rt>もんだい</rt></ruby>として <ruby>扱<rt>あつか</rt></ruby>いましょう。,Let's treat these two as distinct problems.,
みっちり<div class="hint">fully; hard</div>,みっちり,fully; hard,コーチがみっちりと <ruby>特訓<rt>とっくん</rt></ruby>してくれた。,The coach made us train hard.,
別問題<div class="hint">another question</div>,べつもんだい,another question,それとこれとは <ruby>別<rt>べつ</rt></ruby> <ruby>問題<rt>もんだい</rt></ruby>です。,This and that are different problems.,
専ら<div class="hint">exclusively; solely</div>,もっぱら,exclusively; solely,<ruby>彼<rt>かれ</rt></ruby>は <ruby>最近<rt>さいきん</rt></ruby>は <ruby>専<rt>もっぱ</rt></ruby>らゴルフをしています。,Recently he does nothing but play golf.,
先天的<div class="hint">inborn; native</div>,せんてんてき,inborn; native,これは <ruby>先天的<rt>せんてんてき</rt></ruby>な <ruby>病気<rt>びょうき</rt></ruby>です。,This is a congenital disease.,
後天的<div class="hint">acquired; learned</div>,こうてんてき,acquired; learned,<ruby>彼<rt>かれ</rt></ruby>の <ruby>障害<rt>しょうがい</rt></ruby>は <ruby>後天的<rt>こうてんてき</rt></ruby>なものです。,His disability was acquired.,
内向的<div class="hint">introverted</div>,ないこうてき,introverted,<ruby>彼<rt>かれ</rt></ruby>はどちらかというと <ruby>内向<rt>ないこう</rt></ruby> <ruby>的<rt>てき</rt></ruby>です。,If anything; he is introverted.,
人道的<div class="hint">humane; humanitarian</div>,じんどうてき,humane; humanitarian,<ruby>彼<rt>かれ</rt></ruby>は <ruby>捕虜<rt>ほりょ</rt></ruby>を <ruby>人道的<rt>じんどうてき</rt></ruby>に <ruby>扱<rt>あつか</rt></ruby>うよう <ruby>指示<rt>しじ</rt></ruby>した。,He instructed that the prisoner of war be treated humanely.,
能動的<div class="hint">active</div>,のうどうてき,active,もっと <ruby>能動<rt>のうどう</rt></ruby> <ruby>的<rt>てき</rt></ruby>に <ruby>考<rt>かんが</rt></ruby>えましょう。,Let's think more proactively.,
社交的<div class="hint">friendly; sociable</div>,しゃこうてき,friendly; sociable,<ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>社交<rt>しゃこう</rt></ruby> <ruby>的<rt>てき</rt></ruby>だ。,She is very sociable.,
打算的<div class="hint">calculating; self-centered</div>,ださんてき,calculating; self-centered,<ruby>彼<rt>かれ</rt></ruby>は <ruby>余<rt>あま</rt></ruby>りに <ruby>打算<rt>ださん</rt></ruby> <ruby>的<rt>てき</rt></ruby>だ。,He is too calculating.,
オートメーション<div class="hint">automation</div>,おーとめーしょん,automation,その <ruby>工場<rt>こうじょう</rt></ruby>はオートメーション <ruby>化<rt>か</rt></ruby>が <ruby>進<rt>すす</rt></ruby>んでいる。,Automation at that factory is advanced.,
末期的<div class="hint">decadent; terminal</div>,まっきてき,decadent; terminal,<ruby>彼<rt>かれ</rt></ruby>の <ruby>病気<rt>びょうき</rt></ruby>は <ruby>末期<rt>まっき</rt></ruby> <ruby>的<rt>てき</rt></ruby> <ruby>症状<rt>しょうじょう</rt></ruby>にある。,His sickness has terminal symptoms.,
受動的<div class="hint">passive</div>,じゅどうてき,passive,<ruby>受動<rt>じゅどう</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>学習<rt>がくしゅう</rt></ruby> <ruby>法<rt>ほう</rt></ruby>では <ruby>外国<rt>がいこく</rt></ruby> <ruby>語<rt>ご</rt></ruby>は <ruby>習得<rt>しゅうとく</rt></ruby>できません。,Foreign languages cannot be acquired by a passive study method.,
